goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSieve_Zipf_Probe/s=1.20-32                                   	29515334	        49.32 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.20-32                                   	22783521	        44.83 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.50-32                                   	18467571	        60.01 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.50-32                                   	16962187	        73.05 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.50-32                                   	16134295	        68.47 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.01-32                                   	11416718	       105.4 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.01-32                                   	11170970	       106.2 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.01-32                                   	10953009	       105.9 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.20-32                                   	11104549	        97.62 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.20-32                                   	11125251	       100.3 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.20-32                                   	11576952	        98.40 ns/op	       4 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.50-32                                   	12254136	        89.92 ns/op	       3 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.50-32                                   	12350215	        86.04 ns/op	       3 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Mixed/s=1.50-32                                   	12634018	        96.98 ns/op	       3 B/op	       0 allocs/op
BenchmarkSieveAdd/CacheSize_1024-32                                   	 9068482	       133.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_1024-32                                   	 8958608	       132.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_1024-32                                   	 8784837	       133.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_8192-32                                   	 8745423	       132.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_8192-32                                   	 9030232	       132.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_8192-32                                   	 8848591	       133.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_32768-32                                  	 8591280	       137.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkSieveAdd/CacheSize_32768-32                                  	 8831752	       138.5 ns/op	      16 B/op	       1 allocs/op
